,mean_score,score_std,win_prob,win_prob_std,reaction_time_mean,reaction_time_std,sense_prob,sense_std
jelly_fish,-0.5818713450292395,1.9688290492696894,0.3815789473684207,0.45684918987624373,5965.915460521762,4520.478108878419,,
artificial_intelligence,0.7602339181286552,1.8810379143015215,0.6769005847953217,0.44149749360707835,6856.612551171743,7124.838131885369,,
god,0.09649122807017543,1.2672223228842843,0.49561403508771934,0.2807328603419177,5967.74040935083,5219.277864178551,,
virus,-0.24415204678362576,1.7775041135251772,0.45614035087719307,0.42585586138872356,6252.550826020774,5331.581769777629,,
human,2.153508771929824,1.0149668384425958,0.9078947368421051,0.17538903243280402,6589.84717105174,7176.544894529811,,
chimpanzee,0.7836257309941519,1.9361993561637931,0.6754385964912281,0.4475178508536281,5998.279195906115,5234.457843834585,,
robot,-0.1242690058479532,1.9473550617255089,0.47953216374269003,0.4831788941755388,8449.49086257116,11027.350684991712,,
rock,-2.2558479532163735,0.8413970171301993,0.03947368421052632,0.08177961101344118,5470.306878654605,4370.1314239494095,,
autonomous_car,-0.5277777777777779,1.9183002205503061,0.38596491228070134,0.4822570650409979,6187.015709063385,4844.684446359351,,
computer,-0.059941520467836316,1.9200787882916528,0.5014619883040935,0.4558597864767538,6296.742748542113,5191.235340030118,,
